Category: Machine Learning & Artificial Intelligence

Week,PyTorch: (Worldwide),TensorFlow: (Worldwide),jax: (Worldwide)
2021-09-05,36,31,0
2021-09-12,38,34,0
2021-09-19,37,37,6
2021-09-26,42,30,0
2021-10-03,46,39,0
2021-10-10,50,37,0
2021-10-17,42,35,0
2021-10-24,50,43,0
2021-10-31,51,36,0
2021-11-07,57,36,0
2021-11-14,48,41,0
2021-11-21,54,47,0
2021-11-28,52,38,7
2021-12-05,52,36,0
2021-12-12,52,43,5
2021-12-19,49,24,5
2021-12-26,31,28,3
2022-01-02,52,50,3
2022-01-09,60,48,0
2022-01-16,56,53,7
2022-01-23,63,40,0
2022-01-30,63,44,2
2022-02-06,61,45,2
2022-02-13,92,67,0
2022-02-20,75,58,0
2022-02-27,81,58,1
2022-03-06,75,53,0
2022-03-13,83,68,3
2022-03-20,88,69,3
2022-03-27,92,76,4
2022-04-03,100,71,0
2022-04-10,94,67,3
2022-04-17,94,73,0
2022-04-24,82,63,0
2022-05-01,87,64,1
2022-05-08,85,55,4
2022-05-15,77,64,3
2022-05-22,73,56,0
2022-05-29,78,54,1
2022-06-05,77,64,2
2022-06-12,65,61,1
2022-06-19,72,62,2
2022-06-26,63,66,1
2022-07-03,69,57,2
2022-07-10,56,49,3
2022-07-17,63,53,3
2022-07-24,60,55,4
2022-07-31,66,45,0
2022-08-07,59,61,0
2022-08-14,56,44,0
2022-08-21,64,57,0
